WUszzZrmymsASemJqEAQEYHAwubsj5DdPC7Cw1sh659m6aa,5CcHZhbmzk8kwccvpXn3NaP15uCUuWNUcBgxyDp1pj5CBEtG,750,0.9109,750,0.9129,750,0.8567,750,0.7501,750,0.6949,750,0.6884,750,0.6691,5.4835
WUuxDYtvrsacwT5V38s8RTKZKpW75wh5sMuZ86m4MtyHQxJ,5CcKWvap9dEUQ7REzjgk6mJ3UH7P8sEx4frmKQtuBzu1hLNw,,,500,0.6086,500,0.5711,500,0.5001,500,0.4633,500,0.4589,500,0.4461,3.0483
WVJT4sSz1gc3idbJnWupbDA5aCNvevu9vLyMB7X12kVNBNU,5Cci1muNCn3VptbkpV4nnw3szXVFxSEA8iqq7Tuf8fkXnFTd,400.8125,0.4868,400.8125,0.4879,400.8125,0.4578,400.8125,0.4009,400.8125,0.3714,400.8125,0.3679,400.8125,0.3576,2.9304
WVTVhQ8CLEaE3MiKNPqtPm11vNFW4Et4dt7QN3MoyewFZVW,5Ccs4QS3R6bU1DKsq4wirjbivsf8XqY93SNyAeqVwceyfEPR,,,,,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.4879
WVZx3ysDVotF6A3UrzBhvKAvudPTmkHtVM9dQnn3URXVjr6,5CcyWm1nSGAn2G8CzZY4gG9tqrvGVZ3YsHr1PhavB7RZujDK,1265,1.5365,,,,,,,,,,,,,1.5365
WVkbVUmT7KWtKpN8TsxqU9XC17HL6Mo7m1vcGfVC51fPErz,5CdAACWgfsgQfVnXeARqoozF6xQAMsf46ZWnNZTdKi1ho6ji,1627.7688,1.9771,1627.7688,1.9815,1627.7688,1.8595,,,,,,,,,5.8182
WVrLEF2Diopv7vS7vvd9q1WZeFA7jymE6AhZi3Y7ELCx1Lx,5CdFtwGwSVAihHtbddUW8ArEUbY39XH2CtfZKzqgEsLFMzrE,,,,,,,,,,,1000,0.9179,1000,0.8922,1.8101
WVtJeF7t7PTmfjC5LzikL7cgCcPNDGsvkqQWZFYNTJfN8us,5CdHsMH36skMYqhMb3YbifxLb9uGPza8uZLGGr3gW6Jhmxhb,104,0.1263,104,0.1266,104,0.1188,104,0.104,104,0.0963,104,0.0954,104,0.0927,0.7603
WYGHp7PTSJtM3Gdwdc9WsurWX3YGHbuGDXrpoyCj31M7Gdw,5CffrX9JgCfn8DEoTLA2VDkaRULRJ4uAF22ib6mLrg1PXQQc,,,,,,,,,311,0.2881,311,0.2854,311,0.2774,0.8511
WYfVnuxMM8ziiZG6JBGRyRty1wc8YLhj5aiVauKCXWW43je,5Cg54Vwsa7VtVtXRbzj9QKGcsyEVAKdxht5aFshTLAWYTuTc,120,0.1457,120,0.146,120,0.137,120,0.12,120,0.1111,120,0.1101,120,0.107,0.8773
WaJPC4HBghfsda3dYnrfhFkVe9338gy4cnNstQaKZ3sWkZx,5Chhwu6CQT4ZeoYD9FLje36UQbRv4uzE3RHEeBCiTC3uvfo1,265,0.3218,265,0.3225,265,0.3027,265,0.265,265,0.2455,265,0.2432,265,0.2364,1.9375
WanMp5zthbsEVc6PDQNYuCqJbbkqoqfoYoHTnNMXMK3oxQe,5CiBvX7v7Txm1faFtuxFXF3ZDYtdsb8vnMJ9E5AVezK6Ddj3,100,0.1214,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.7311
WbB2BcGDYrJ8dBY3eVxfpNMwSnp42vAQAqDAUGF98TG8Usx,5CiaateBSKDBuo9hZM3qeAD5rQ5h5pDRNyL4vm4PGmTJYWBu,,,,,,,2088,2.0884,2088,1.9348,2088,1.9166,2088,1.8629,7.8028
Wcq2NkQj5HKLDcRYeRvcnD1dP5VmYemjv57DzFES1fDRzqU,5CkEb5nKwqeD7Pab4Lyob83jYLNNoKx2iiZxzH3NZefFqpnt,212.5236,0.2581,212.5236,0.2587,212.5236,0.2427,212.5236,0.2125,212.5236,0.1969,212.5236,0.195,212.5236,0.1896,1.5538
WdHp7karFJ6C6U3WhfhNrbGeuoUrZboCvv5vHvF741SMvg3,5CkhNpnW51eyyGSD2QDaMCRzZs6MtLu4BjQwgaiPEh1Umnye,222,0.2696,222,0.2702,222,0.2536,222,0.222,222,0.2057,222,0.2037,222,0.198,1.6231
WdoFyWooXRbKRv3Wxge2S4czWkatUYat5s8FFKRoEsTfXU3,5CmCpgYj2HnV6btD2fEWzmuLuU3TvFqqrtMz1Y7ZvssW5S61,,,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.6096
Wdwbi6FHXTWLkYtfxoEvn1JVK6N8U64LgYNq4cMXgBgJQfR,5CmMAR8AWHpQ7vX4BfM7u7r2QGPFAFPKKV3EbMQVfKBiiGki,33478,40.6643,33478,40.7535,33478,38.2446,33478,33.4858,33478,31.0218,33478,30.7308,33478,29.8693,244.7704
WfidPcqUSBo8BbGRXtRGZYdJ7RaQGXjPyfzAj2sNbTXHcUz,5Co8C6ekhCYguMZRwESJEuPMD4iTS3pzNnAqw1q1WETZha5d,100,0.1214,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.7311
